FECHA (YYMMDD);HORA (HHMM);;
120322;0100;;
120322;0200;;
120322;0300;;
120322;0400;;
120322;0500;;
120322;0600;;
120322;0700;;
120322;0800;;
120322;0900;;
120322;1000;;
120322;1100;;
120322;1200;;
120322;1300;;
120322;1400;;
120322;1500;;
120322;1600;;
120322;1700;;
120322;1800;;
120322;1900;;
120322;2000;;
120322;2100;;
120322;2200;;
120322;2300;;
120323;0000;;
120323;0100;;
120323;0200;;
120323;0300;;
120323;0400;;
120323;0500;;
120323;0600;;
120323;0700;;
120323;0800;;
120323;0900;;
120323;1000;;
120323;1100;;
120323;1200;;
120323;1300;;
120323;1400;;
120323;1500;;
120323;1600;;
120323;1700;;
120323;1800;;
120323;1900;;
120323;2000;;
120323;2100;;
120323;2200;;
120323;2300;;
120324;0000;;
120324;0100;;
120324;0200;;
120324;0300;;
120324;0400;;
120324;0500;;
120324;0600;;
120324;0700;;
120324;0800;;
120324;0900;;
120324;1000;;
120324;1100;;
120324;1200;;
120324;1300;;
120324;1400;;
120324;1500;;
120324;1600;;
120324;1700;;
120324;1800;;
120324;1900;;
120324;2000;;
120324;2100;;
120324;2200;;
120324;2300;;
120325;0000;;
120325;0100;;
120325;0200;;
120325;0300;;
120325;0400;;
120325;0500;;
120325;0600;;
120325;0700;;
120325;0800;;
120325;0900;;
120325;1000;;
120325;1100;;
120325;1200;;
120325;1300;;
120325;1400;;
120325;1500;;
120325;1600;;
120325;1700;;
120325;1800;;
120325;1900;;
120325;2000;;
120325;2100;;
120325;2200;;
120325;2300;;
120326;0000;;
120326;0100;;
120326;0200;;
120326;0300;;
120326;0400;;
120326;0500;;
120326;0600;;
120326;0700;;
120326;0800;;
120326;0900;;
120326;1000;;
120326;1100;;
120326;1200;;
120326;1300;;
120326;1400;;
120326;1500;;
120326;1600;;
120326;1700;;
120326;1800;;
120326;1900;;
120326;2000;;
120326;2100;;
120326;2200;;
120326;2300;;
120327;0000;;
120327;0100;;
120327;0200;;
120327;0300;;
120327;0400;;
120327;0500;;
120327;0600;;
120327;0700;;
120327;0800;;
120327;0900;;
120327;1000;;
120327;1100;;
120327;1200;;
120327;1300;;
120327;1400;;
120327;1500;;
120327;1600;;
120327;1700;;
120327;1800;;
120327;1900;;
120327;2000;;
120327;2100;;
120327;2200;;
120327;2300;;
120328;0000;;
120328;0100;;
120328;0200;;
120328;0300;;
120328;0400;;
120328;0500;;
120328;0600;;
120328;0700;;
120328;0800;;
120328;0900;;
120328;1000;;
120328;1100;;
120328;1200;;
120328;1300;;
120328;1400;;
120328;1500;;
120328;1600;;
120328;1700;;
120328;1800;;
120328;1900;;
120328;2000;;
120328;2100;;
120328;2200;;
120328;2300;;
120329;0000;;
120329;0100;;
120329;0200;;
120329;0300;;
120329;0400;;
120329;0500;;
120329;0600;;
120329;0700;;
120329;0800;;
120329;0900;;
120329;1000;;
120329;1100;;
120329;1200;;
120329;1300;;
120329;1400;;
120329;1500;;
120329;1600;;
120329;1700;;
120329;1800;;
120329;1900;;
120329;2000;;
120329;2100;;
120329;2200;;
120329;2300;;
120330;0000;;
120330;0100;0;
120330;0200;0;
120330;0300;0;
120330;0400;0,00999999;
120330;0500;0;
120330;0600;0;
120330;0700;0;
120330;0800;0;
120330;0900;0;
120330;1000;0;
120330;1100;9,64999;
120330;1200;8,03999;
120330;1300;24,38;
120330;1400;25,57;
120330;1500;7,18999;
120330;1600;13,77;
120330;1700;;
120330;1800;;
120330;1900;0;
120330;2000;;
120330;2100;14,24;
120330;2200;9,37999;
120330;2300;11,99;
120331;0000;3,92;
120331;0100;2,85;
120331;0200;1,14;
120331;0300;0,849999;
120331;0400;0,52;
120331;0500;0,52;
120331;0600;0,889999;
120331;0700;1,02;
120331;0800;2,54;
120331;0900;5,00999;
120331;1000;4,89999;
120331;1100;;
120331;1200;;
120331;1300;;
120331;1400;;
120331;1500;0;
120331;1600;0;
120331;1700;;
120331;1800;;
120331;1900;;
120331;2000;;
120331;2100;;
120331;2200;;
120331;2300;;
120401;0000;;
120401;0100;;
120401;0200;;
120401;0300;;
120401;0400;;
120401;0500;;
120401;0600;;
120401;0700;;
120401;0800;;
120401;0900;;
120401;1000;;
120401;1100;;
120401;1200;;
120401;1300;;
120401;1400;;
120401;1500;;
120401;1600;;
120401;1700;;
120401;1800;;
120401;1900;;
120401;2000;;
120401;2100;;
120401;2200;;
120401;2300;;
120402;0000;;
120402;0100;;
120402;0200;;
120402;0300;;
120402;0400;;
120402;0500;;
120402;0600;;
120402;0700;;
120402;0800;;
120402;0900;;
120402;1000;;
120402;1100;;
120402;1200;;
120402;1300;;
120402;1400;;
120402;1500;;
120402;1600;;
120402;1700;;
120402;1800;;
120402;1900;;
120402;2000;;
120402;2100;;
120402;2200;;
120402;2300;;
120403;0000;;
120403;0100;;
120403;0200;;
120403;0300;;
120403;0400;;
120403;0500;;
120403;0600;;
120403;0700;;
120403;0800;;
120403;0900;;
120403;1000;;
120403;1100;;
120403;1200;;
120403;1300;;
120403;1400;;
120403;1500;;
120403;1600;;
120403;1700;;
120403;1800;;
120403;1900;;
120403;2000;;
120403;2100;;
120403;2200;;
120403;2300;;
120404;0000;;
120404;0100;;
120404;0200;;
120404;0300;;
120404;0400;;
120404;0500;;
120404;0600;;
120404;0700;;
120404;0800;;
120404;0900;;
120404;1000;;
120404;1100;;
120404;1200;;
120404;1300;;
120404;1400;;
120404;1500;;
120404;1600;;
120404;1700;;
120404;1800;;
120404;1900;;
120404;2000;;
120404;2100;;
120404;2200;;
120404;2300;;
120405;0000;;
120405;0100;;
120405;0200;;
120405;0300;;
120405;0400;;
120405;0500;;
120405;0600;;
120405;0700;;
120405;0800;;
120405;0900;;
120405;1000;;
120405;1100;;
120405;1200;;
120405;1300;;
120405;1400;;
120405;1500;;
120405;1600;;
120405;1700;;
120405;1800;;
120405;1900;;
120405;2000;;
120405;2100;;
120405;2200;;
120405;2300;;
120406;0000;;
120406;0100;;
120406;0200;;
120406;0300;;
120406;0400;;
120406;0500;;
120406;0600;;
120406;0700;;
120406;0800;;
120406;0900;;
120406;1000;;
120406;1100;;
120406;1200;;
120406;1300;;
120406;1400;;
120406;1500;;
120406;1600;;
120406;1700;;
120406;1800;;
120406;1900;;
120406;2000;;
120406;2100;;
120406;2200;;
120406;2300;;
120407;0000;;
120407;0100;;
120407;0200;;
120407;0300;;
120407;0400;;
120407;0500;;
120407;0600;;
120407;0700;;
120407;0800;;
120407;0900;;
120407;1000;;
120407;1100;;
120407;1200;;
120407;1300;;
120407;1400;;
120407;1500;;
120407;1600;;
120407;1700;;
120407;1800;;
120407;1900;;
120407;2000;;
120407;2100;;
120407;2200;;
120407;2300;;
120408;0000;;
120408;0100;;
120408;0200;;
120408;0300;;
120408;0400;;
120408;0500;;
120408;0600;;
120408;0700;;
120408;0800;;
120408;0900;;
120408;1000;;
120408;1100;;
120408;1200;;
120408;1300;;
120408;1400;;
120408;1500;;
120408;1600;;
120408;1700;;
120408;1800;;
120408;1900;;
120408;2000;;
120408;2100;;
120408;2200;;
120408;2300;;
120409;0000;;
120409;0100;;
120409;0200;;
120409;0300;;
120409;0400;;
120409;0500;;
120409;0600;;
120409;0700;;
120409;0800;;
120409;0900;;
120409;1000;;
120409;1100;;
120409;1200;;
120409;1300;;
120409;1400;;
120409;1500;;
120409;1600;;
120409;1700;;
120409;1800;;
120409;1900;;
120409;2000;;
120409;2100;;
120409;2200;;
120409;2300;;
120410;0000;;
120410;0100;;
120410;0200;;
120410;0300;;
120410;0400;;
120410;0500;;
120410;0600;;
120410;0700;;
120410;0800;;
120410;0900;;
120410;1000;;
120410;1100;;
120410;1200;;
120410;1300;;
120410;1400;;
120410;1500;;
120410;1600;;
120410;1700;;
120410;1800;;
120410;1900;;
120410;2000;;
120410;2100;;
120410;2200;;
120410;2300;;
120411;0000;;
120411;0100;;
120411;0200;;
120411;0300;;
120411;0400;;
120411;0500;;
120411;0600;;
120411;0700;;
120411;0800;;
120411;0900;;
120411;1000;;
120411;1100;;
120411;1200;;
120411;1300;;
120411;1400;;
120411;1500;;
120411;1600;;
120411;1700;;
120411;1800;;
120411;1900;;
120411;2000;;
120411;2100;;
120411;2200;;
120411;2300;;
120412;0000;;
120412;0100;;
120412;0200;;
120412;0300;;
120412;0400;;
120412;0500;;
120412;0600;;
120412;0700;;
120412;0800;;
120412;0900;;
120412;1000;;
120412;1100;;
120412;1200;;
120412;1300;;
120412;1400;;
120412;1500;;
120412;1600;;
120412;1700;;
120412;1800;;
120412;1900;;
120412;2000;;
120412;2100;;
120412;2200;;
120412;2300;;
120413;0000;;
120413;0100;;
120413;0200;;
120413;0300;;
120413;0400;;
120413;0500;;
120413;0600;;
120413;0700;;
120413;0800;;
120413;0900;;
120413;1000;;
120413;1100;;
120413;1200;;
120413;1300;;
120413;1400;;
120413;1500;;
120413;1600;;
120413;1700;;
120413;1800;;
120413;1900;;
120413;2000;;
120413;2100;;
120413;2200;;
120413;2300;;
120414;0000;;
120414;0100;;
120414;0200;;
